id,name,position_id,position_2_id,squad_id,age,club_id,birth_year,matches_played,starts,minutes_played
62,Borna Barišić,2,0,25,30-036,50,1992,1,1,120
63,Meshaal Barsham,4,0,11,24-305,14,1998,2,2,180
64,Christian Bassogog,1,0,6,27-059,51,1995,1,0,24
65,Michy Batshuayi,3,0,15,29-075,52,1993,2,2,151
66,Jan Bednarek,2,0,26,26-248,53,1996,1,0,5
67,Aziz Behich,2,0,23,32-000,54,1990,4,4,360
68,Alireza Beiranvand,4,0,21,30-086,55,1992,2,2,109
69,Jude Bellingham,1,0,16,19-170,56,2003,5,5,414
70,Anis Ben Slimane,1,0,2,21-275,57,2001,2,2,148
71,Jewison Bennette,1,0,12,18-184,58,2004,3,1,103
72,Rodrigo Bentancur,1,0,27,25-174,59,1997,3,3,213
73,Bartosz Bereszyński,2,0,26,30-157,60,1992,4,4,341
74,Steven Berghuis,1,0,13,30-362,26,1991,4,1,200
75,Steven Bergwijn,3,0,13,25-069,26,1997,4,3,213
76,Krystian Bielik,1,0,26,24-346,61,1998,4,2,216
77,Daley Blind,2,0,13,32-282,26,1990,5,5,423
78,Celso Borges,1,0,12,34-203,62,1988,3,3,249
79,Milan Borjan,4,0,9,35-054,63,1987,3,3,270
80,Karim Boudiaf,1,0,11,32-091,22,1990,3,2,185
81,Sofiane Boufal,3,0,7,29-090,64,1993,6,6,412
82,Yassine Bounou,4,0,7,31-255,11,1991,5,5,480
83,Martin Braithwaite,3,1,20,31-194,65,1991,2,1,103
84,Mohammed Al-Breik,2,0,4,30-092,4,1992,2,1,65
85,Gleison Bremer,2,0,17,25-273,66,1997,2,1,109
86,Dylan Bronn,2,0,2,27-180,67,1995,2,2,162
87,Marcelo Brozović,1,0,25,30-030,68,1992,6,6,552
88,Tajon Buchanan,1,2,9,23-311,69,1999,3,3,260
89,Ante Budimir,3,0,25,31-147,70,1991,2,0,55
90,Osman Bukari,1,0,3,24-003,63,1998,2,0,59
91,Ali Al-Bulaihi,2,0,4,33-025,4,1989,3,3,216
92,Firas Al-Buraikan,1,3,4,22-216,71,2000,3,3,268
93,Sergio Busquets,1,0,14,34-153,19,1988,4,4,363
94,Martín Cáceres,2,0,27,35-253,72,1987,1,1,90
95,Moisés Caicedo,1,0,28,21-044,73,2001,3,3,269
96,Francisco Calvo,2,0,12,30-161,74,1992,2,2,180
97,Eduardo Camavinga,2,0,29,20-036,39,2002,1,1,90
98,Joel Campbell,3,1,12,30-173,75,1992,3,3,269
99,João Cancelo,2,0,30,28-203,18,1994,4,3,310
100,Agustín Canobbio,1,0,27,24-076,76,1998,1,0,11
101,Yannick Carrasco,3,2,15,29-103,77,1993,2,2,116
102,Cameron Carter-Vickers,2,0,1,24-350,78,1997,1,1,90
103,Dani Carvajal,2,0,14,30-339,39,1992,2,1,135
104,William Carvalho,1,0,30,30-253,79,1992,4,2,215
105,Casemiro,1,0,17,30-296,35,1992,4,4,390
106,Matty Cash,2,0,26,25-131,53,1997,4,4,360
107,Timothy Castagne,2,0,15,27-011,30,1995,3,3,270
108,Jean-Charles Castelletto,2,0,6,27-324,80,1995,2,2,180
109,Lucas Cavallini,3,0,9,29-353,81,1992,1,0,19
110,Edinson Cavani,3,0,27,35-305,82,1987,3,1,124
111,Ghaylène Chaalali,1,0,2,28-291,83,1994,1,0,17
112,Daniel Chacón,1,0,12,21-249,84,2001,1,0,1
113,Kwon Chang-hoon,3,1,31,28-169,85,1994,1,1,56
114,Luis Chávez,1,0,19,26-335,27,1996,3,3,270
115,Walid Cheddira,3,0,7,24-328,86,1998,2,0,64
116,Roozbeh Cheshmi,2,1,21,29-145,87,1993,2,1,58
117,Andreas Christensen,2,0,20,26-250,19,1996,3,3,270
118,Hong Chul,2,0,31,32-090,88,1990,1,0,45
119,José Cifuentes,1,0,28,23-279,10,1999,2,0,59
120,Pathé Ciss,1,0,5,28-275,89,1994,3,2,146
121,Sebastián Coates,2,0,27,32-070,90,1990,2,2,180
122,Rubin Colwill,1,0,18,20-233,91,2002,1,0,10
123,Kingsley Coman,3,0,29,26-186,92,1996,5,1,119
124,Eray Cömert,2,0,10,24-315,82,1998,2,0,46
125,Anthony Contreras,3,1,12,22-321,93,2000,3,2,125
126,Andreas Cornelius,3,0,20,29-275,94,1993,3,1,92
127,Ángel Correa,1,0,8,27-282,77,1995,1,0,5
128,Diogo Costa,4,0,30,23-088,95,1999,5,5,450
129,Thibaut Courtois,4,0,15,30-219,39,1992,3,3,270
130,Jason Cummings,3,0,23,27-137,96,1995,1,0,35
131,Aimen Dahmen,4,0,2,25-322,97,1997,3,3,270
132,Diogo Dalot,2,0,30,23-273,35,1999,3,3,258
133,Mikkel Damsgaard,1,3,20,22-166,98,2000,3,1,150
134,Danilo,2,0,17,31-154,66,1991,3,3,281
135,Achraf Dari,2,0,7,23-224,99,1999,2,1,124
136,Jonathan David,3,1,9,22-336,100,2000,3,2,192
137,Alphonso Davies,1,2,9,22-044,92,2000,3,3,270
138,Ben Davies,2,0,18,29-236,59,1993,3,3,238
139,Nasser Al-Dawsari,3,0,4,23-362,4,1998,1,0,5
140,Salem Al-Dawsari,1,0,4,31-119,4,1991,3,3,270
141,Giorgian De Arrascaeta,1,0,27,28-198,101,1994,2,1,108
142,Kevin De Bruyne,3,1,15,31-171,18,1991,3,3,270
143,Charles De Ketelaere,3,0,15,21-281,48,2001,1,0,16
144,Nicolás De La Cruz,1,0,27,25-198,102,1997,2,0,38
145,Rodrigo De Paul,1,0,8,28-206,77,1994,6,6,498
146,Miloš Degenek,2,0,23,28-232,103,1994,4,2,183
147,Thomas Delaney,1,0,20,31-104,11,1991,1,1,44
148,Ousmane Dembélé,3,0,29,25-215,19,1997,6,5,393
149,Leander Dendoncker,2,1,15,27-245,53,1995,2,2,161
150,Sergiño Dest,2,0,1,22-043,48,2000,4,4,305
151,Ángel Di María,1,3,8,34-305,66,1988,4,3,225
152,Boulaye Dia,3,0,5,26-030,67,1996,4,4,318
153,Abdou Diallo,2,0,5,26-226,104,1996,4,4,331
154,Rúben Dias,2,0,30,25-216,18,1997,4,4,360
155,Krépin Diatta,3,1,5,23-294,105,1999,3,3,181
156,Famara Diedhiou,3,0,5,30-001,106,1992,2,1,92
157,Bamba Dieng,3,0,5,22-268,107,2000,4,0,100
158,Eric Dier,2,0,16,28-335,59,1994,2,0,36
159,Axel Disasi,2,0,29,24-280,105,1998,2,1,91
160,Alexander Djiku,2,3,3,28-129,108,1994,2,1,97
161,Ritsu Doan,3,0,22,24-183,109,1998,4,2,217
162,Jeremy Doku,1,3,15,20-203,110,2002,1,0,19
163,Kasper Dolberg,3,0,20,25-071,11,1997,3,1,114
164,Mohamed Dräger,2,0,2,26-174,111,1996,2,2,132
165,Óscar Duarte,2,0,12,33-196,112,1989,3,3,270
166,Mitchell Duke,3,0,23,31-332,113,1991,4,4,270
167,Denzel Dumfries,2,0,13,26-242,68,1996,5,5,479
168,Paulo Dybala,3,0,8,29-031,114,1993,1,0,17
169,Enzo Ebosse,2,0,6,23-280,115,1999,1,1,90
170,Ederson,4,0,17,29-121,18,1993,1,1,90
171,Jorge Eduardo Sánchez,2,0,19,25-006,26,1997,2,2,175
172,Nico Elvedi,2,0,10,26-077,116,1996,2,2,180
173,Breel Embolo,3,0,10,25-305,105,1997,4,4,323
174,Youssef En-Nesyri,3,0,7,25-198,11,1997,6,6,452
175,Wataru Endo,1,0,22,29-310,117,1993,4,3,304
176,Devis Epassy,4,0,6,29-317,118,1993,2,2,180
177,Christian Eriksen,1,0,20,30-305,35,1992,3,3,270
178,Michael Estrada,3,0,28,26-253,36,1996,3,3,225
179,Pervis Estupiñán,2,0,28,24-329,73,1998,3,3,270
180,Stephen Eustáquio,1,0,9,25-360,95,1996,2,2,125
181,Saeid Ezatolahi,1,0,21,26-076,119,1996,3,2,217
182,Abdessamad Ezzalzouli,3,1,7,20-364,70,2001,3,0,93
183,Fabinho,1,0,17,29-054,21,1993,1,1,90
184,Collins Fai,2,0,6,30-125,120,1992,3,3,270
185,Salman Al-Faraj,1,0,4,33-137,4,1989,1,1,44
186,Christian Fassnacht,3,0,10,29-035,121,1993,1,0,8
187,Abdul Fatawu Issahaku,3,0,3,18-283,90,2004,1,0,1
188,Ansu Fati,3,0,14,20-046,19,2002,2,0,46
189,João Félix,3,0,30,23-036,77,1999,4,4,331
190,Bruno Fernandes,3,1,30,28-099,35,1994,4,4,356
191,Edimilson Fernandes,3,2,10,26-245,122,1996,3,1,145
192,Enzo Fernández,1,0,8,21-333,47,2001,6,4,444
193,Jesús Ferreira,3,0,1,21-357,123,2000,1,1,45
194,Phil Foden,3,1,16,22-202,18,2000,4,3,258
195,Youssouf Fofana,1,0,29,23-340,105,1999,5,2,202
196,Juan Foyth,2,0,8,24-338,124,1998,1,0,5
197,Alan Franco,1,0,28,24-117,125,1998,2,1,46
198,Przemysław Frankowski,1,0,26,27-248,3,1995,4,3,240
199,Fred,1,0,17,29-286,35,1993,4,2,142
200,Fabian Frei,1,0,10,33-342,126,1989,2,0,25
201,Remo Freuler,1,0,10,30-245,127,1992,4,4,323
202,Keysher Fuller,2,1,12,28-158,93,1994,3,3,253
203,Niclas Füllkrug,3,0,32,29-310,128,1993,3,0,69
204,Rogelio Funes Mori,3,0,19,31-286,129,1991,1,0,5
205,Cody Gakpo,3,1,13,23-223,130,1999,5,5,450
206,Hernán Galíndez,4,0,28,35-261,131,1987,3,3,270
207,Jesús Gallardo,2,0,19,28-123,129,1994,3,3,270
208,Idrissa Gana Gueye,1,0,5,33-081,132,1989,3,3,270
209,Gavi,1,0,14,18-133,19,2004,4,4,284
210,Sultan Al-Ghanam,2,1,4,28-224,7,1994,3,1,126
211,Nader Ghandri,2,0,2,27-301,133,1995,1,1,90
212,Saman Ghoddos,1,0,21,29-101,98,1993,1,0,45
213,Ali Gholizadeh,1,3,21,26-281,134,1996,3,2,199
214,Matthias Ginter,2,0,32,28-331,109,1994,1,0,1
215,Olivier Giroud,3,0,29,36-077,48,1986,5,5,379
216,Kamil Glik,2,0,26,34-316,135,1988,4,4,360
217,Serge Gnabry,3,1,32,27-155,92,1995,3,3,263
218,Diego Godín,2,0,27,36-303,136,1986,2,2,151
219,Maxi Gómez,3,0,27,26-124,137,1996,2,0,30
220,Papu Gómez,1,3,8,34-304,11,1988,2,2,107
221,Shūichi Gonda,4,0,22,33-288,138,1989,4,4,390
222,Craig Goodwin,1,0,23,31-000,139,1991,4,3,234
223,Leon Goretzka,1,0,32,27-313,92,1995,3,2,159
224,Mario Götze,1,0,32,30-196,140,1992,2,0,36
225,Jack Grealish,3,0,16,27-097,18,1995,5,0,86
226,Antoine Griezmann,1,0,29,31-270,77,1991,6,5,467
227,Kamil Grosicki,1,0,26,34-191,141,1988,1,0,4
228,Carlos Gruezo,1,0,28,27-241,142,1995,1,1,45
229,Marko Grujić,1,0,24,26-247,95,1996,1,0,13
230,Andrés Guardado,1,0,19,36-079,79,1986,1,1,41
231,Nemanja Gudelj,1,2,24,31-030,11,1991,2,1,92
232,Mattéo Guendouzi,3,1,29,23-246,107,1999,1,1,78
233,Raphaël Guerreiro,2,0,30,28-359,56,1993,4,3,279
234,Cho Guesung,3,0,31,24-325,143,1998,4,3,275
235,Pape Gueye,1,0,5,23-326,107,1999,3,1,153
236,Bruno Guimarães,1,0,17,25-030,144,1997,2,0,69
237,İlkay Gündoğan,1,0,32,32-053,18,1990,3,3,189
238,Erick Gutiérrez,1,0,19,27-184,130,1995,1,0,49
239,Joško Gvardiol,2,0,25,20-327,104,2002,6,6,600
240,Asiri Haitham,3,0,4,21-266,145,2001,1,0,2
241,Ehsan Hajsafi,1,2,21,32-294,146,1990,3,3,237
242,Achraf Hakimi,2,0,7,24-042,147,1998,6,6,541
243,Abderrazak Hamdallah,3,0,7,31-364,8,1990,4,0,68
244,Abdelkarim Hassan,2,0,11,29-110,14,1993,3,3,270
245,Ali Al Hassan,1,0,4,25-287,7,1997,1,1,45
246,Abdulaziz Hatem,1,0,11,32-049,148,1990,3,2,196
247,Kai Havertz,3,0,32,23-188,44,1999,2,1,102
248,Hassan Al-Haydos,1,0,11,32-005,14,1990,3,3,206
249,Eden Hazard,1,0,15,31-343,39,1991,3,2,124
250,Thorgan Hazard,3,0,15,29-262,56,1993,2,1,106
251,Hwang Hee-chan,1,3,31,26-324,149,1996,2,1,115
252,Jordan Henderson,1,0,16,32-182,21,1990,4,3,271
253,Wayne Hennessey,4,0,18,35-326,127,1987,2,2,175
254,Lucas Hernández,2,0,29,26-305,92,1996,1,1,12
255,Theo Hernández,2,0,29,25-071,48,1997,5,4,438
256,Héctor Herrera,1,0,19,32-241,150,1990,2,2,160
257,Son Heung-min,3,1,31,30-161,59,1992,4,4,360
258,Piero Hincapié,2,0,28,20-341,43,2002,3,3,270
259,Jonas Hofmann,3,0,32,30-155,116,1992,2,0,30
260,Junior Hoilett,3,1,9,32-194,151,1990,3,2,161
261,Martin Hongla,1,0,6,24-275,152,1998,2,2,121
262,Ricardo Horta,3,0,30,28-092,153,1994,3,1,119
263,Hossein Hosseini,4,0,21,30-169,87,1992,2,1,161
264,Majid Hosseini,2,0,21,26-179,154,1996,3,3,270
265,Ajdin Hrustic,1,3,23,26-164,152,1996,3,0,62
266,Atiba Hutchinson,1,0,9,39-311,155,1983,3,2,159
267,Pierre Højbjerg,1,0,20,27-133,59,1995,3,3,270
268,Romario Ibarra,1,0,28,28-083,27,1994,2,1,68
269,Ivan Ilić,1,0,24,21-274,152,2001,1,0,34
270,Hwang In-beom,1,0,31,26-087,6,1996,4,4,334
271,Jackson Irvine,1,3,23,29-284,156,1993,4,4,354
272,Ko Itakura,2,0,22,25-323,116,1997,3,3,270
273,Hiroki Ito,2,0,22,23-218,117,1999,1,0,45
274,Junya Ito,1,3,22,29-282,157,1993,4,3,324
275,Yahya Jabrane,1,0,7,31-181,42,1991,2,0,15
276,Nicolas Jackson,3,0,5,21-179,124,2001,1,0,17
277,Lee Jae-sung,1,3,31,30-128,122,1992,3,3,211
278,Alireza Jahanbakhsh,1,0,21,29-127,158,1993,2,1,59
279,Ismail Jakobs,2,0,5,23-121,105,1999,4,3,278
280,Abolfazl Jalali,2,0,21,24-173,87,1998,1,0,19
281,Daniel James,3,1,18,25-036,159,1997,3,2,154
282,Vincent Janssen,3,0,13,28-184,20,1994,2,1,86
283,Ardon Jasari,3,0,10,20-139,111,2002,1,0,2
284,Issam Jebali,3,0,2,30-356,160,1991,3,2,182
285,Artur Jędrzejczyk,2,0,26,35-042,161,1987,1,0,19
286,Mathias Jensen,1,0,20,26-349,98,1996,2,1,84
287,Gabriel Jesus,3,0,17,25-257,162,1997,3,1,93
288,Raúl Jiménez,3,0,19,31-225,149,1991,3,0,59
289,Kim Jin-su,2,0,31,30-186,143,1992,4,4,315
290,Brennan Johnson,3,1,18,21-207,127,2001,3,0,91
291,Alistair Johnston,2,0,9,24-069,163,1998,3,3,270
292,Frenkie de Jong,1,0,13,25-218,19,1997,5,5,475
293,Luuk de Jong,3,0,13,32-111,130,1990,1,0,57
294,Luka Jović,3,0,24,24-358,32,1997,1,0,36
295,Son Jun-ho,1,2,31,30-218,164,1992,3,0,72
296,Vinicius Júnior,3,0,17,22-157,39,2000,4,4,299
297,Josip Juranović,2,0,25,27-122,78,1995,6,6,600
298,Daichi Kamada,3,1,22,26-133,140,1996,4,4,322
299,Jakub Kamiński,1,0,26,20-194,165,2002,4,2,233
300,Hossein Kanaanizadegan,2,0,21,28-268,166,1994,1,0,45
301,Harry Kane,3,0,16,29-141,59,1993,5,5,402
302,Lee Kangin,1,3,31,21-300,167,2001,4,1,147
303,Mohamed Kanno,1,3,4,28-085,4,1994,3,3,270
304,Fran Karačić,2,0,23,26-218,168,1996,2,1,93
305,Ali Karimi,1,0,21,28-308,154,1994,3,1,99
306,Mark-Anthony Kaye,1,0,9,28-014,169,1994,1,1,59
307,Wajdi Kechrida,2,0,2,27-041,170,1995,3,1,111
308,Thilo Kehrer,2,0,32,26-086,15,1996,1,1,69
309,Wahbi Khazri,3,1,2,31-311,171,1991,2,1,83
310,Musab Kheder,2,0,11,29-081,14,1993,1,0,6
311,Boualem Khoukhi,2,0,11,32-160,14,1990,3,3,270
312,Joshua Kimmich,1,2,32,27-311,92,1995,3,3,270
313,Jakub Kiwior,2,0,26,22-304,31,2000,4,4,355
314,Simon Kjær,2,0,20,33-265,48,1989,1,1,64
315,Davy Klaassen,1,3,13,29-298,26,1993,4,3,190
316,Lukas Klostermann,2,0,32,26-196,104,1996,2,0,66
317,Gregor Kobel,4,0,10,25-010,56,1997,1,1,90
318,Koke,1,0,14,30-342,77,1992,2,0,52
319,Randal Kolo Muani,3,0,29,24-011,140,1998,2,1,102
320,Ibrahima Konaté,2,0,29,23-205,21,1999,4,3,286
321,Ismaël Koné,1,2,9,20-193,163,2002,3,0,109
322,Teun Koopmeiners,1,0,13,24-291,172,1998,5,1,219
323,Filip Kostić,2,0,24,30-045,66,1992,2,2,179
324,Kalidou Koulibaly,2,0,5,31-179,44,1991,4,4,360
325,Jules Koundé,2,0,29,24-034,19,1998,5,4,361
326,Cheikhou Kouyaté,1,0,5,32-360,127,1989,1,1,72
327,Mateo Kovačić,1,0,25,28-224,44,1994,6,6,545
328,Andrej Kramarić,3,0,25,31-180,173,1991,6,6,414
329,Grzegorz Krychowiak,1,0,26,32-321,5,1990,4,4,332
330,Takefusa Kubo,3,0,22,21-195,174,2001,2,2,90
331,Pierre Kunde,1,0,6,27-143,6,1995,2,2,131
332,Garang Kuol,3,1,23,18-092,96,2004,2,0,37
333,Daniel Kyereh,1,2,3,26-283,109,1996,3,0,33
334,Kwon Kyung-won,2,0,31,30-319,175,1992,2,1,91
335,Aïssa Laïdouni,1,0,2,26-003,176,1996,3,3,243
336,Tariq Lamptey,2,0,3,22-077,73,2000,2,1,102
337,Noa Lang,1,0,13,23-182,69,1999,1,0,8
338,Aymeric Laporte,2,0,14,28-203,18,1994,3,3,300
339,Cyle Larin,3,0,9,27-243,69,1995,3,2,137
340,Richie Laryea,2,1,9,27-343,169,1995,3,2,160
341,Darko Lazović,2,0,24,32-092,152,1990,1,0,25
342,Rafael Leão,3,0,30,23-189,48,1999,5,0,88
343,Mathew Leckie,1,3,23,31-315,177,1991,4,4,333
344,Robert Lewandowski,3,0,26,34-117,19,1988,4,4,360
345,Matthijs de Ligt,2,0,13,23-126,92,1999,2,1,91
346,Jesper Lindstrøm,1,3,20,22-290,140,2000,3,2,200
347,Marko Livaja,3,1,25,29-112,178,1993,5,2,176
348,Dominik Livaković,4,0,25,27-341,179,1995,6,6,600
349,Marcos Llorente,2,0,14,27-320,77,1995,1,1,120
350,Hugo Lloris,4,0,29,35-355,59,1986,5,5,450
351,Dejan Lovren,2,0,25,33-164,180,1989,6,6,600
352,Hirving Lozano,3,0,19,27-139,181,1995,3,3,252
353,Romelu Lukaku,3,0,15,29-217,68,1993,2,0,55
354,Saša Lukić,1,0,24,26-125,182,1996,3,3,245
355,Ali Maâloul,2,0,2,32-349,183,1990,1,1,90
356,Awer Mabil,1,0,23,27-092,184,1995,2,0,24
357,Alexis Mac Allister,1,0,8,23-357,73,1998,5,5,435
358,Jamie Maclaren,3,0,23,29-140,177,1993,3,0,55
359,Assim Madibo,1,0,11,26-055,22,1996,2,2,153
360,Abdullah Madu,2,1,4,29-154,7,1993,1,0,45
361,Daizen Maeda,3,0,22,25-057,78,1997,3,3,180
362,Harry Maguire,2,0,16,29-286,35,1993,5,5,429
363,Lovro Majer,1,0,25,24-333,110,1998,6,0,65
364,Nemanja Maksimović,1,0,24,27-324,185,1995,3,1,122
365,Abdulellah Al-Malki,1,0,4,28-066,4,1994,2,2,174
366,Steve Mandanda,4,0,29,37-263,110,1985,1,1,90
367,José María Giménez,2,0,27,27-330,77,1995,3,3,270
368,João Mário,3,1,30,29-331,47,1993,2,1,84
369,Marquinhos,2,0,17,28-216,147,1994,5,4,426
370,Henry Martín,3,0,19,30-028,37,1992,2,2,146
371,Martinelli,3,0,17,21-181,162,2001,3,1,113
372,Carlos Martínez,2,0,12,23-261,186,1999,1,1,45
373,Emiliano Martínez,4,0,8,30-105,53,1992,6,6,570
374,Lautaro Martínez,3,0,8,25-116,68,1997,5,2,223
375,Lisandro Martínez,2,0,8,24-332,35,1998,5,2,303
376,Pape Matar Sarr,1,0,5,20-093,59,2002,2,0,59
377,Rónald Matarrita,2,1,12,28-160,187,1994,2,0,26
378,Eric Maxim Choupo-Moting,3,1,6,33-268,92,1989,3,3,253
379,Noussair Mazraoui,2,0,7,25-032,92,1997,5,5,365
380,Kylian Mbappé,3,0,29,23-361,147,1998,6,5,478
381,Bryan Mbeumo,3,1,6,23-131,98,1999,3,3,233
382,Riley McGree,3,1,23,24-044,188,1998,4,4,265
383,Weston McKennie,1,0,1,24-110,66,1998,4,4,271
384,Hannibal Mejbri,1,0,2,19-329,189,2003,1,0,11
385,Memphis,3,0,13,28-306,19,1994,5,3,297
386,Nuno Mendes,2,0,30,20-180,147,2002,1,1,41
387,Jhegson Méndez,1,0,28,25-234,10,1997,2,2,180
388,Edouard Mendy,4,0,5,30-290,44,1992,4,4,360
389,Nampalys Mendy,1,0,5,30-176,30,1992,4,3,272
390,Gideon Mensah,2,0,3,24-151,190,1998,1,1,87
391,Chris Mepham,2,0,18,25-041,191,1997,3,3,270
392,Yassine Meriah,2,0,2,29-167,83,1993,3,3,270
393,Dries Mertens,1,3,15,35-224,192,1987,2,1,76
394,Lionel Messi,3,0,8,35-175,147,1987,6,6,570
395,Thomas Meunier,2,0,15,31-095,56,1991,3,2,211
396,Nikola Milenković,2,0,24,25-065,32,1997,3,3,270
397,Arkadiusz Milik,3,1,26,28-291,66,1994,3,1,101
398,Sergej Milinković-Savić,1,0,24,27-292,193,1995,3,3,233
399,Vanja Milinković-Savić,4,0,24,25-299,182,1997,3,3,270
400,Éder Militão,2,0,17,24-332,39,1998,4,4,347
401,Liam Millar,2,0,9,23-080,126,1999,1,0,10
402,Kamal Miller,2,0,9,25-214,163,1997,3,3,270
403,Kim Min-jae,2,0,31,26-031,181,1996,3,3,269
404,Takumi Minamino,3,0,22,27-334,105,1995,3,0,60
405,Kaoru Mitoma,1,0,22,25-210,73,1997,4,0,165
406,Aleksandar Mitrović,3,0,24,28-091,159,1994,3,3,262
407,Stefan Mitrović,2,0,24,32-208,185,1990,1,0,35
408,Filip Mladenović,2,0,24,31-123,161,1991,1,1,65
409,Luka Modrić,1,0,25,37-098,39,1985,6,6,563
410,Ismail Mohamad,3,0,11,32-255,22,1990,2,2,174
411,Milad Mohammadi,2,0,21,29-078,146,1993,3,3,196
412,Kudus Mohammed,3,1,3,22-136,26,2000,3,3,247
413,Sadegh Moharrami,2,0,21,26-290,179,1996,1,1,90
414,Nahuel Molina,2,0,8,24-254,77,1998,6,5,477
415,César Montes,2,0,19,25-295,129,1997,3,3,270
416,Gonzalo Montiel,2,1,8,25-349,11,1997,3,1,88
417,Kim Moonhwan,2,0,31,27-137,143,1995,4,4,360
418,Kieffer Moore,3,0,18,30-130,191,1992,3,2,225
419,Shaquell Moore,2,0,1,26-044,194,1996,2,0,22
420,Aaron Mooy,1,0,23,32-092,78,1990,4,4,360
421,Álvaro Morata,3,0,14,30-054,77,1992,4,1,185
422,Héctor Moreno,2,0,19,34-333,129,1988,3,3,270
423,Hidemasa Morita,1,0,22,27-220,90,1995,3,3,285
424,Joe Morrell,1,0,18,25-347,195,1997,2,0,33
425,Jordan Morris,3,2,1,28-051,196,1994,2,0,4
426,Youssoufa Moukoko,3,0,32,18-026,56,2004,1,0,1
427,Mason Mount,1,0,16,23-340,44,1999,4,2,186
428,Youssef Msakni,1,3,2,32-049,197,1990,2,2,169
