,id,name,position_id,position_2_id,squad_id,age,club_id,birth_year,matches_played,starts,minutes_played
41,42,Uriel Antuna,3,1,19,25-117,36,1997,3,0,77
42,43,Néstor Araujo,2,,19,31-109,37,1991,1,1,90
43,44,Takuma Asano,3,,22,28-036,38,1994,4,0,165
44,45,Marco Asensio,3,,14,26-329,39,1996,4,3,229
45,46,Ali Assadalla,1,,11,29-331,14,1993,1,0,27
46,47,Lawrence Ati-Zigi,4,,3,26-017,40,1996,3,3,270
47,48,Nathaniel Atkinson,2,,23,23-186,41,1999,1,1,84
48,49,Yahya Attiat Allah,2,,7,27-289,42,1995,5,1,228
49,50,André Ayew,1,3,3,32-364,14,1989,3,3,198
50,51,Jordan Ayew,3,,3,31-096,33,1991,3,2,136
51,52,Sardar Azmoun,3,,21,27-349,43,1995,3,2,126
52,53,César Azpilicueta,2,,14,33-110,44,1989,2,2,135
53,54,Srđan Babić,2,,24,26-238,45,1996,1,0,13
54,55,Keanu Baccus,1,,23,24-192,46,1998,4,1,114
55,56,Alexander Bah,2,,20,25-007,47,1997,2,0,46
56,57,Hattan Bahebri,1,,4,30-153,5,1992,2,0,4
57,58,Alejandro Balde,2,,14,19-059,19,2003,4,1,126
58,59,Gareth Bale,3,,18,33-153,10,1989,3,3,225
59,60,Fodé Ballo-Touré,2,,5,25-347,48,1997,1,0,7
60,61,Badr Banoun,2,,7,29-077,49,1993,2,0,27
61,62,Borna Barišić,2,,25,30-036,50,1992,1,1,120
62,63,Meshaal Barsham,4,,11,24-305,14,1998,2,2,180
63,64,Christian Bassogog,1,,6,27-059,51,1995,1,0,24
64,65,Michy Batshuayi,3,,15,29-075,52,1993,2,2,151
65,66,Jan Bednarek,2,,26,26-248,53,1996,1,0,5
66,67,Aziz Behich,2,,23,32-000,54,1990,4,4,360
67,68,Alireza Beiranvand,4,,21,30-086,55,1992,2,2,109
68,69,Jude Bellingham,1,,16,19-170,56,2003,5,5,414
69,70,Anis Ben Slimane,1,,2,21-275,57,2001,2,2,148
70,71,Jewison Bennette,1,,12,18-184,58,2004,3,1,103
71,72,Rodrigo Bentancur,1,,27,25-174,59,1997,3,3,213
72,73,Bartosz Bereszyński,2,,26,30-157,60,1992,4,4,341
73,74,Steven Berghuis,1,,13,30-362,26,1991,4,1,200
74,75,Steven Bergwijn,3,,13,25-069,26,1997,4,3,213
75,76,Krystian Bielik,1,,26,24-346,61,1998,4,2,216
76,77,Daley Blind,2,,13,32-282,26,1990,5,5,423
77,78,Celso Borges,1,,12,34-203,62,1988,3,3,249
78,79,Milan Borjan,4,,9,35-054,63,1987,3,3,270
79,80,Karim Boudiaf,1,,11,32-091,22,1990,3,2,185
80,81,Sofiane Boufal,3,,7,29-090,64,1993,6,6,412
81,82,Yassine Bounou,4,,7,31-255,11,1991,5,5,480
82,83,Martin Braithwaite,3,1,20,31-194,65,1991,2,1,103
83,84,Mohammed Al-Breik,2,,4,30-092,4,1992,2,1,65
84,85,Gleison Bremer,2,,17,25-273,66,1997,2,1,109
85,86,Dylan Bronn,2,,2,27-180,67,1995,2,2,162
86,87,Marcelo Brozović,1,,25,30-030,68,1992,6,6,552
87,88,Tajon Buchanan,1,2,9,23-311,69,1999,3,3,260
88,89,Ante Budimir,3,,25,31-147,70,1991,2,0,55
89,90,Osman Bukari,1,,3,24-003,63,1998,2,0,59
90,91,Ali Al-Bulaihi,2,,4,33-025,4,1989,3,3,216
91,92,Firas Al-Buraikan,1,3,4,22-216,71,2000,3,3,268
92,93,Sergio Busquets,1,,14,34-153,19,1988,4,4,363
93,94,Martín Cáceres,2,,27,35-253,72,1987,1,1,90
94,95,Moisés Caicedo,1,,28,21-044,73,2001,3,3,269
95,96,Francisco Calvo,2,,12,30-161,74,1992,2,2,180
96,97,Eduardo Camavinga,2,,29,20-036,39,2002,1,1,90
97,98,Joel Campbell,3,1,12,30-173,75,1992,3,3,269
98,99,João Cancelo,2,,30,28-203,18,1994,4,3,310
99,100,Agustín Canobbio,1,,27,24-076,76,1998,1,0,11
100,101,Yannick Carrasco,3,2,15,29-103,77,1993,2,2,116
101,102,Cameron Carter-Vickers,2,,1,24-350,78,1997,1,1,90
102,103,Dani Carvajal,2,,14,30-339,39,1992,2,1,135
103,104,William Carvalho,1,,30,30-253,79,1992,4,2,215
104,105,Casemiro,1,,17,30-296,35,1992,4,4,390
105,106,Matty Cash,2,,26,25-131,53,1997,4,4,360
106,107,Timothy Castagne,2,,15,27-011,30,1995,3,3,270
107,108,Jean-Charles Castelletto,2,,6,27-324,80,1995,2,2,180
108,109,Lucas Cavallini,3,,9,29-353,81,1992,1,0,19
109,110,Edinson Cavani,3,,27,35-305,82,1987,3,1,124
110,111,Ghaylène Chaalali,1,,2,28-291,83,1994,1,0,17
111,112,Daniel Chacón,1,,12,21-249,84,2001,1,0,1
112,113,Kwon Chang-hoon,3,1,31,28-169,85,1994,1,1,56
113,114,Luis Chávez,1,,19,26-335,27,1996,3,3,270
114,115,Walid Cheddira,3,,7,24-328,86,1998,2,0,64
115,116,Roozbeh Cheshmi,2,1,21,29-145,87,1993,2,1,58
116,117,Andreas Christensen,2,,20,26-250,19,1996,3,3,270
117,118,Hong Chul,2,,31,32-090,88,1990,1,0,45
118,119,José Cifuentes,1,,28,23-279,10,1999,2,0,59
119,120,Pathé Ciss,1,,5,28-275,89,1994,3,2,146
120,121,Sebastián Coates,2,,27,32-070,90,1990,2,2,180
121,122,Rubin Colwill,1,,18,20-233,91,2002,1,0,10
122,123,Kingsley Coman,3,,29,26-186,92,1996,5,1,119
123,124,Eray Cömert,2,,10,24-315,82,1998,2,0,46
124,125,Anthony Contreras,3,1,12,22-321,93,2000,3,2,125
125,126,Andreas Cornelius,3,,20,29-275,94,1993,3,1,92
126,127,Ángel Correa,1,,8,27-282,77,1995,1,0,5
127,128,Diogo Costa,4,,30,23-088,95,1999,5,5,450
128,129,Thibaut Courtois,4,,15,30-219,39,1992,3,3,270
129,130,Jason Cummings,3,,23,27-137,96,1995,1,0,35
130,131,Aimen Dahmen,4,,2,25-322,97,1997,3,3,270
131,132,Diogo Dalot,2,,30,23-273,35,1999,3,3,258
132,133,Mikkel Damsgaard,1,3,20,22-166,98,2000,3,1,150
133,134,Danilo,2,,17,31-154,66,1991,3,3,281
134,135,Achraf Dari,2,,7,23-224,99,1999,2,1,124
135,136,Jonathan David,3,1,9,22-336,100,2000,3,2,192
136,137,Alphonso Davies,1,2,9,22-044,92,2000,3,3,270
137,138,Ben Davies,2,,18,29-236,59,1993,3,3,238
138,139,Nasser Al-Dawsari,3,,4,23-362,4,1998,1,0,5
139,140,Salem Al-Dawsari,1,,4,31-119,4,1991,3,3,270
140,141,Giorgian De Arrascaeta,1,,27,28-198,101,1994,2,1,108
141,142,Kevin De Bruyne,3,1,15,31-171,18,1991,3,3,270
142,143,Charles De Ketelaere,3,,15,21-281,48,2001,1,0,16
143,144,Nicolás De La Cruz,1,,27,25-198,102,1997,2,0,38
144,145,Rodrigo De Paul,1,,8,28-206,77,1994,6,6,498
145,146,Miloš Degenek,2,,23,28-232,103,1994,4,2,183
146,147,Thomas Delaney,1,,20,31-104,11,1991,1,1,44
147,148,Ousmane Dembélé,3,,29,25-215,19,1997,6,5,393
148,149,Leander Dendoncker,2,1,15,27-245,53,1995,2,2,161
149,150,Sergiño Dest,2,,1,22-043,48,2000,4,4,305
150,151,Ángel Di María,1,3,8,34-305,66,1988,4,3,225
151,152,Boulaye Dia,3,,5,26-030,67,1996,4,4,318
152,153,Abdou Diallo,2,,5,26-226,104,1996,4,4,331
153,154,Rúben Dias,2,,30,25-216,18,1997,4,4,360
154,155,Krépin Diatta,3,1,5,23-294,105,1999,3,3,181
155,156,Famara Diedhiou,3,,5,30-001,106,1992,2,1,92
156,157,Bamba Dieng,3,,5,22-268,107,2000,4,0,100
157,158,Eric Dier,2,,16,28-335,59,1994,2,0,36
158,159,Axel Disasi,2,,29,24-280,105,1998,2,1,91
159,160,Alexander Djiku,2,3,3,28-129,108,1994,2,1,97
160,161,Ritsu Doan,3,,22,24-183,109,1998,4,2,217
161,162,Jeremy Doku,1,3,15,20-203,110,2002,1,0,19
162,163,Kasper Dolberg,3,,20,25-071,11,1997,3,1,114
163,164,Mohamed Dräger,2,,2,26-174,111,1996,2,2,132
164,165,Óscar Duarte,2,,12,33-196,112,1989,3,3,270
165,166,Mitchell Duke,3,,23,31-332,113,1991,4,4,270
166,167,Denzel Dumfries,2,,13,26-242,68,1996,5,5,479
167,168,Paulo Dybala,3,,8,29-031,114,1993,1,0,17
168,169,Enzo Ebosse,2,,6,23-280,115,1999,1,1,90
169,170,Ederson,4,,17,29-121,18,1993,1,1,90
170,171,Jorge Eduardo Sánchez,2,,19,25-006,26,1997,2,2,175
171,172,Nico Elvedi,2,,10,26-077,116,1996,2,2,180
172,173,Breel Embolo,3,,10,25-305,105,1997,4,4,323
173,174,Youssef En-Nesyri,3,,7,25-198,11,1997,6,6,452
174,175,Wataru Endo,1,,22,29-310,117,1993,4,3,304
175,176,Devis Epassy,4,,6,29-317,118,1993,2,2,180
176,177,Christian Eriksen,1,,20,30-305,35,1992,3,3,270
177,178,Michael Estrada,3,,28,26-253,36,1996,3,3,225
178,179,Pervis Estupiñán,2,,28,24-329,73,1998,3,3,270
179,180,Stephen Eustáquio,1,,9,25-360,95,1996,2,2,125
180,181,Saeid Ezatolahi,1,,21,26-076,119,1996,3,2,217
181,182,Abdessamad Ezzalzouli,3,1,7,20-364,70,2001,3,0,93
182,183,Fabinho,1,,17,29-054,21,1993,1,1,90
183,184,Collins Fai,2,,6,30-125,120,1992,3,3,270
184,185,Salman Al-Faraj,1,,4,33-137,4,1989,1,1,44
185,186,Christian Fassnacht,3,,10,29-035,121,1993,1,0,8
186,187,Abdul Fatawu Issahaku,3,,3,18-283,90,2004,1,0,1
187,188,Ansu Fati,3,,14,20-046,19,2002,2,0,46
188,189,João Félix,3,,30,23-036,77,1999,4,4,331
189,190,Bruno Fernandes,3,1,30,28-099,35,1994,4,4,356
190,191,Edimilson Fernandes,3,2,10,26-245,122,1996,3,1,145
191,192,Enzo Fernández,1,,8,21-333,47,2001,6,4,444
192,193,Jesús Ferreira,3,,1,21-357,123,2000,1,1,45
193,194,Phil Foden,3,1,16,22-202,18,2000,4,3,258
194,195,Youssouf Fofana,1,,29,23-340,105,1999,5,2,202
195,196,Juan Foyth,2,,8,24-338,124,1998,1,0,5
196,197,Alan Franco,1,,28,24-117,125,1998,2,1,46
197,198,Przemysław Frankowski,1,,26,27-248,3,1995,4,3,240
198,199,Fred,1,,17,29-286,35,1993,4,2,142
199,200,Fabian Frei,1,,10,33-342,126,1989,2,0,25
200,201,Remo Freuler,1,,10,30-245,127,1992,4,4,323
201,202,Keysher Fuller,2,1,12,28-158,93,1994,3,3,253
202,203,Niclas Füllkrug,3,,32,29-310,128,1993,3,0,69
203,204,Rogelio Funes Mori,3,,19,31-286,129,1991,1,0,5
204,205,Cody Gakpo,3,1,13,23-223,130,1999,5,5,450
205,206,Hernán Galíndez,4,,28,35-261,131,1987,3,3,270
206,207,Jesús Gallardo,2,,19,28-123,129,1994,3,3,270
207,208,Idrissa Gana Gueye,1,,5,33-081,132,1989,3,3,270
208,209,Gavi,1,,14,18-133,19,2004,4,4,284
209,210,Sultan Al-Ghanam,2,1,4,28-224,7,1994,3,1,126
210,211,Nader Ghandri,2,,2,27-301,133,1995,1,1,90
211,212,Saman Ghoddos,1,,21,29-101,98,1993,1,0,45
212,213,Ali Gholizadeh,1,3,21,26-281,134,1996,3,2,199
213,214,Matthias Ginter,2,,32,28-331,109,1994,1,0,1
214,215,Olivier Giroud,3,,29,36-077,48,1986,5,5,379
215,216,Kamil Glik,2,,26,34-316,135,1988,4,4,360
216,217,Serge Gnabry,3,1,32,27-155,92,1995,3,3,263
217,218,Diego Godín,2,,27,36-303,136,1986,2,2,151
218,219,Maxi Gómez,3,,27,26-124,137,1996,2,0,30
219,220,Papu Gómez,1,3,8,34-304,11,1988,2,2,107
220,221,Shūichi Gonda,4,,22,33-288,138,1989,4,4,390
221,222,Craig Goodwin,1,,23,31-000,139,1991,4,3,234
222,223,Leon Goretzka,1,,32,27-313,92,1995,3,2,159
223,224,Mario Götze,1,,32,30-196,140,1992,2,0,36
224,225,Jack Grealish,3,,16,27-097,18,1995,5,0,86
225,226,Antoine Griezmann,1,,29,31-270,77,1991,6,5,467
226,227,Kamil Grosicki,1,,26,34-191,141,1988,1,0,4
227,228,Carlos Gruezo,1,,28,27-241,142,1995,1,1,45
228,229,Marko Grujić,1,,24,26-247,95,1996,1,0,13
229,230,Andrés Guardado,1,,19,36-079,79,1986,1,1,41
230,231,Nemanja Gudelj,1,2,24,31-030,11,1991,2,1,92
231,232,Mattéo Guendouzi,3,1,29,23-246,107,1999,1,1,78
232,233,Raphaël Guerreiro,2,,30,28-359,56,1993,4,3,279
233,234,Cho Guesung,3,,31,24-325,143,1998,4,3,275
234,235,Pape Gueye,1,,5,23-326,107,1999,3,1,153
235,236,Bruno Guimarães,1,,17,25-030,144,1997,2,0,69
236,237,İlkay Gündoğan,1,,32,32-053,18,1990,3,3,189
237,238,Erick Gutiérrez,1,,19,27-184,130,1995,1,0,49
238,239,Joško Gvardiol,2,,25,20-327,104,2002,6,6,600
239,240,Asiri Haitham,3,,4,21-266,145,2001,1,0,2
240,241,Ehsan Hajsafi,1,2,21,32-294,146,1990,3,3,237
241,242,Achraf Hakimi,2,,7,24-042,147,1998,6,6,541
242,243,Abderrazak Hamdallah,3,,7,31-364,8,1990,4,0,68
243,244,Abdelkarim Hassan,2,,11,29-110,14,1993,3,3,270
244,245,Ali Al Hassan,1,,4,25-287,7,1997,1,1,45
245,246,Abdulaziz Hatem,1,,11,32-049,148,1990,3,2,196
246,247,Kai Havertz,3,,32,23-188,44,1999,2,1,102
247,248,Hassan Al-Haydos,1,,11,32-005,14,1990,3,3,206
248,249,Eden Hazard,1,,15,31-343,39,1991,3,2,124
249,250,Thorgan Hazard,3,,15,29-262,56,1993,2,1,106
250,251,Hwang Hee-chan,1,3,31,26-324,149,1996,2,1,115
251,252,Jordan Henderson,1,,16,32-182,21,1990,4,3,271
252,253,Wayne Hennessey,4,,18,35-326,127,1987,2,2,175
253,254,Lucas Hernández,2,,29,26-305,92,1996,1,1,12
254,255,Theo Hernández,2,,29,25-071,48,1997,5,4,438
255,256,Héctor Herrera,1,,19,32-241,150,1990,2,2,160
256,257,Son Heung-min,3,1,31,30-161,59,1992,4,4,360
257,258,Piero Hincapié,2,,28,20-341,43,2002,3,3,270
258,259,Jonas Hofmann,3,,32,30-155,116,1992,2,0,30
259,260,Junior Hoilett,3,1,9,32-194,151,1990,3,2,161
260,261,Martin Hongla,1,,6,24-275,152,1998,2,2,121
261,262,Ricardo Horta,3,,30,28-092,153,1994,3,1,119
262,263,Hossein Hosseini,4,,21,30-169,87,1992,2,1,161
263,264,Majid Hosseini,2,,21,26-179,154,1996,3,3,270
264,265,Ajdin Hrustic,1,3,23,26-164,152,1996,3,0,62
265,266,Atiba Hutchinson,1,,9,39-311,155,1983,3,2,159
266,267,Pierre Højbjerg,1,,20,27-133,59,1995,3,3,270
267,268,Romario Ibarra,1,,28,28-083,27,1994,2,1,68
268,269,Ivan Ilić,1,,24,21-274,152,2001,1,0,34
269,270,Hwang In-beom,1,,31,26-087,6,1996,4,4,334
270,271,Jackson Irvine,1,3,23,29-284,156,1993,4,4,354
271,272,Ko Itakura,2,,22,25-323,116,1997,3,3,270
272,273,Hiroki Ito,2,,22,23-218,117,1999,1,0,45
273,274,Junya Ito,1,3,22,29-282,157,1993,4,3,324
274,275,Yahya Jabrane,1,,7,31-181,42,1991,2,0,15
275,276,Nicolas Jackson,3,,5,21-179,124,2001,1,0,17
276,277,Lee Jae-sung,1,3,31,30-128,122,1992,3,3,211
277,278,Alireza Jahanbakhsh,1,,21,29-127,158,1993,2,1,59
278,279,Ismail Jakobs,2,,5,23-121,105,1999,4,3,278
279,280,Abolfazl Jalali,2,,21,24-173,87,1998,1,0,19
280,281,Daniel James,3,1,18,25-036,159,1997,3,2,154
281,282,Vincent Janssen,3,,13,28-184,20,1994,2,1,86
282,283,Ardon Jasari,3,,10,20-139,111,2002,1,0,2
283,284,Issam Jebali,3,,2,30-356,160,1991,3,2,182
284,285,Artur Jędrzejczyk,2,,26,35-042,161,1987,1,0,19
285,286,Mathias Jensen,1,,20,26-349,98,1996,2,1,84
286,287,Gabriel Jesus,3,,17,25-257,162,1997,3,1,93
287,288,Raúl Jiménez,3,,19,31-225,149,1991,3,0,59
288,289,Kim Jin-su,2,,31,30-186,143,1992,4,4,315
289,290,Brennan Johnson,3,1,18,21-207,127,2001,3,0,91
290,291,Alistair Johnston,2,,9,24-069,163,1998,3,3,270
291,292,Frenkie de Jong,1,,13,25-218,19,1997,5,5,475
292,293,Luuk de Jong,3,,13,32-111,130,1990,1,0,57
293,294,Luka Jović,3,,24,24-358,32,1997,1,0,36
294,295,Son Jun-ho,1,2,31,30-218,164,1992,3,0,72
295,296,Vinicius Júnior,3,,17,22-157,39,2000,4,4,299
296,297,Josip Juranović,2,,25,27-122,78,1995,6,6,600
297,298,Daichi Kamada,3,1,22,26-133,140,1996,4,4,322
298,299,Jakub Kamiński,1,,26,20-194,165,2002,4,2,233
299,300,Hossein Kanaanizadegan,2,,21,28-268,166,1994,1,0,45
300,301,Harry Kane,3,,16,29-141,59,1993,5,5,402
301,302,Lee Kangin,1,3,31,21-300,167,2001,4,1,147
302,303,Mohamed Kanno,1,3,4,28-085,4,1994,3,3,270
303,304,Fran Karačić,2,,23,26-218,168,1996,2,1,93
304,305,Ali Karimi,1,,21,28-308,154,1994,3,1,99
305,306,Mark-Anthony Kaye,1,,9,28-014,169,1994,1,1,59
306,307,Wajdi Kechrida,2,,2,27-041,170,1995,3,1,111
307,308,Thilo Kehrer,2,,32,26-086,15,1996,1,1,69
308,309,Wahbi Khazri,3,1,2,31-311,171,1991,2,1,83
309,310,Musab Kheder,2,,11,29-081,14,1993,1,0,6
310,311,Boualem Khoukhi,2,,11,32-160,14,1990,3,3,270
311,312,Joshua Kimmich,1,2,32,27-311,92,1995,3,3,270
312,313,Jakub Kiwior,2,,26,22-304,31,2000,4,4,355
313,314,Simon Kjær,2,,20,33-265,48,1989,1,1,64
314,315,Davy Klaassen,1,3,13,29-298,26,1993,4,3,190
315,316,Lukas Klostermann,2,,32,26-196,104,1996,2,0,66
316,317,Gregor Kobel,4,,10,25-010,56,1997,1,1,90
317,318,Koke,1,,14,30-342,77,1992,2,0,52
318,319,Randal Kolo Muani,3,,29,24-011,140,1998,2,1,102
319,320,Ibrahima Konaté,2,,29,23-205,21,1999,4,3,286
320,321,Ismaël Koné,1,2,9,20-193,163,2002,3,0,109
321,322,Teun Koopmeiners,1,,13,24-291,172,1998,5,1,219
322,323,Filip Kostić,2,,24,30-045,66,1992,2,2,179
323,324,Kalidou Koulibaly,2,,5,31-179,44,1991,4,4,360
324,325,Jules Koundé,2,,29,24-034,19,1998,5,4,361
325,326,Cheikhou Kouyaté,1,,5,32-360,127,1989,1,1,72
326,327,Mateo Kovačić,1,,25,28-224,44,1994,6,6,545
327,328,Andrej Kramarić,3,,25,31-180,173,1991,6,6,414
328,329,Grzegorz Krychowiak,1,,26,32-321,5,1990,4,4,332
329,330,Takefusa Kubo,3,,22,21-195,174,2001,2,2,90
330,331,Pierre Kunde,1,,6,27-143,6,1995,2,2,131
331,332,Garang Kuol,3,1,23,18-092,96,2004,2,0,37
332,333,Daniel Kyereh,1,2,3,26-283,109,1996,3,0,33
333,334,Kwon Kyung-won,2,,31,30-319,175,1992,2,1,91
334,335,Aïssa Laïdouni,1,,2,26-003,176,1996,3,3,243
335,336,Tariq Lamptey,2,,3,22-077,73,2000,2,1,102
336,337,Noa Lang,1,,13,23-182,69,1999,1,0,8
337,338,Aymeric Laporte,2,,14,28-203,18,1994,3,3,300
338,339,Cyle Larin,3,,9,27-243,69,1995,3,2,137
339,340,Richie Laryea,2,1,9,27-343,169,1995,3,2,160
340,341,Darko Lazović,2,,24,32-092,152,1990,1,0,25
341,342,Rafael Leão,3,,30,23-189,48,1999,5,0,88
342,343,Mathew Leckie,1,3,23,31-315,177,1991,4,4,333
343,344,Robert Lewandowski,3,,26,34-117,19,1988,4,4,360
344,345,Matthijs de Ligt,2,,13,23-126,92,1999,2,1,91
345,346,Jesper Lindstrøm,1,3,20,22-290,140,2000,3,2,200
346,347,Marko Livaja,3,1,25,29-112,178,1993,5,2,176
347,348,Dominik Livaković,4,,25,27-341,179,1995,6,6,600
348,349,Marcos Llorente,2,,14,27-320,77,1995,1,1,120
349,350,Hugo Lloris,4,,29,35-355,59,1986,5,5,450
350,351,Dejan Lovren,2,,25,33-164,180,1989,6,6,600
351,352,Hirving Lozano,3,,19,27-139,181,1995,3,3,252
352,353,Romelu Lukaku,3,,15,29-217,68,1993,2,0,55
353,354,Saša Lukić,1,,24,26-125,182,1996,3,3,245
354,355,Ali Maâloul,2,,2,32-349,183,1990,1,1,90
355,356,Awer Mabil,1,,23,27-092,184,1995,2,0,24
356,357,Alexis Mac Allister,1,,8,23-357,73,1998,5,5,435
357,358,Jamie Maclaren,3,,23,29-140,177,1993,3,0,55
358,359,Assim Madibo,1,,11,26-055,22,1996,2,2,153
359,360,Abdullah Madu,2,1,4,29-154,7,1993,1,0,45
360,361,Daizen Maeda,3,,22,25-057,78,1997,3,3,180
361,362,Harry Maguire,2,,16,29-286,35,1993,5,5,429
362,363,Lovro Majer,1,,25,24-333,110,1998,6,0,65
363,364,Nemanja Maksimović,1,,24,27-324,185,1995,3,1,122
364,365,Abdulellah Al-Malki,1,,4,28-066,4,1994,2,2,174
365,366,Steve Mandanda,4,,29,37-263,110,1985,1,1,90
366,367,José María Giménez,2,,27,27-330,77,1995,3,3,270
367,368,João Mário,3,1,30,29-331,47,1993,2,1,84
368,369,Marquinhos,2,,17,28-216,147,1994,5,4,426
369,370,Henry Martín,3,,19,30-028,37,1992,2,2,146
370,371,Martinelli,3,,17,21-181,162,2001,3,1,113
371,372,Carlos Martínez,2,,12,23-261,186,1999,1,1,45
372,373,Emiliano Martínez,4,,8,30-105,53,1992,6,6,570
373,374,Lautaro Martínez,3,,8,25-116,68,1997,5,2,223
374,375,Lisandro Martínez,2,,8,24-332,35,1998,5,2,303
375,376,Pape Matar Sarr,1,,5,20-093,59,2002,2,0,59
376,377,Rónald Matarrita,2,1,12,28-160,187,1994,2,0,26
377,378,Eric Maxim Choupo-Moting,3,1,6,33-268,92,1989,3,3,253
378,379,Noussair Mazraoui,2,,7,25-032,92,1997,5,5,365
379,380,Kylian Mbappé,3,,29,23-361,147,1998,6,5,478
380,381,Bryan Mbeumo,3,1,6,23-131,98,1999,3,3,233
381,382,Riley McGree,3,1,23,24-044,188,1998,4,4,265
382,383,Weston McKennie,1,,1,24-110,66,1998,4,4,271
383,384,Hannibal Mejbri,1,,2,19-329,189,2003,1,0,11
384,385,Memphis,3,,13,28-306,19,1994,5,3,297
385,386,Nuno Mendes,2,,30,20-180,147,2002,1,1,41
386,387,Jhegson Méndez,1,,28,25-234,10,1997,2,2,180
387,388,Edouard Mendy,4,,5,30-290,44,1992,4,4,360
388,389,Nampalys Mendy,1,,5,30-176,30,1992,4,3,272
389,390,Gideon Mensah,2,,3,24-151,190,1998,1,1,87
390,391,Chris Mepham,2,,18,25-041,191,1997,3,3,270
391,392,Yassine Meriah,2,,2,29-167,83,1993,3,3,270
392,393,Dries Mertens,1,3,15,35-224,192,1987,2,1,76
393,394,Lionel Messi,3,,8,35-175,147,1987,6,6,570
394,395,Thomas Meunier,2,,15,31-095,56,1991,3,2,211
395,396,Nikola Milenković,2,,24,25-065,32,1997,3,3,270
396,397,Arkadiusz Milik,3,1,26,28-291,66,1994,3,1,101
397,398,Sergej Milinković-Savić,1,,24,27-292,193,1995,3,3,233
398,399,Vanja Milinković-Savić,4,,24,25-299,182,1997,3,3,270
399,400,Éder Militão,2,,17,24-332,39,1998,4,4,347
400,401,Liam Millar,2,,9,23-080,126,1999,1,0,10
401,402,Kamal Miller,2,,9,25-214,163,1997,3,3,270
402,403,Kim Min-jae,2,,31,26-031,181,1996,3,3,269
403,404,Takumi Minamino,3,,22,27-334,105,1995,3,0,60
404,405,Kaoru Mitoma,1,,22,25-210,73,1997,4,0,165
405,406,Aleksandar Mitrović,3,,24,28-091,159,1994,3,3,262
406,407,Stefan Mitrović,2,,24,32-208,185,1990,1,0,35
407,408,Filip Mladenović,2,,24,31-123,161,1991,1,1,65
408,409,Luka Modrić,1,,25,37-098,39,1985,6,6,563
409,410,Ismail Mohamad,3,,11,32-255,22,1990,2,2,174
410,411,Milad Mohammadi,2,,21,29-078,146,1993,3,3,196
411,412,Kudus Mohammed,3,1,3,22-136,26,2000,3,3,247
412,413,Sadegh Moharrami,2,,21,26-290,179,1996,1,1,90
