,name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
15,Nayef Aguerd,DF,ma Morocco,26-261,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0
16,Brandon Aguilera,MF,cr Costa Rica,19-171,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0
17,Homam Ahmed,DF,qa Qatar,23-113,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,1,0
18,Manuel Akanji,DF,ch Switzerland,27-150,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,0,0,1,0
19,Nathan Aké,DF,nl Netherlands,27-301,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,1,0
20,Ahmed Alaaeldin,FW,qa Qatar,29-319,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0
21,Jordi Alba,DF,es Spain,33-270,1.es Barcelona,1989,4,3,264,2.9,0,2,0,0,0,0,0
22,Toby Alderweireld,DF,be Belgium,33-289,1.be Antwerp,1989,3,3,270,3.0,0,1,0,0,0,0,0
23,Trent Alexander-Arnold,DF,eng England,24-070,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0
24,Almoez Ali,FW,qa Qatar,26-119,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0
25,Alisson,GK,br Brazil,30-075,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0
26,Joe Allen,MF,wls Wales,32-277,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0
27,Thiago Almada,MF,ar Argentina,21-234,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0
28,Roberto Alvarado,FW,mx Mexico,24-100,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0
29,Edson Álvarez,MF,mx Mexico,25-053,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0
30,Julián Álvarez,"FW,MF",ar Argentina,22-319,1.eng Manchester City,2000,6,4,362,4.0,4,0,4,0,0,0,0
31,Kevin Álvarez,DF,mx Mexico,23-335,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0
32,Dani Alves,DF,br Brazil,39-224,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0
33,Selim Amallah,MF,ma Morocco,26-031,1.be Standard Liège,1996,6,4,384,4.3,0,0,0,0,0,0,0
34,Daniel Amartey,DF,gh Ghana,27-360,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,2,0
35,Ethan Ampadu,"MF,DF",wls Wales,22-093,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0
36,Sofyan Amrabat,MF,ma Morocco,26-117,1.it Fiorentina,1996,6,6,570,6.3,0,0,0,0,0,1,0
37,Abdulelah Al-Amri,DF,sa Saudi Arabia,25-335,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,2,0
38,Joachim Andersen,DF,dk Denmark,26-199,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,0,0,0,0,0
39,Karim Ansarifard,"FW,MF",ir IR Iran,32-257,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0
40,Antony,FW,br Brazil,22-295,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0
41,Uriel Antuna,"FW,MF",mx Mexico,25-117,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0
42,Néstor Araujo,DF,mx Mexico,31-109,1.mx América,1991,1,1,90,1.0,0,0,0,0,0,1,0
43,Takuma Asano,FW,jp Japan,28-036,1.de Bochum,1994,4,0,165,1.8,1,0,1,0,0,0,0
44,Marco Asensio,FW,es Spain,26-329,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,0,0,0,0
45,Ali Assadalla,MF,qa Qatar,29-331,1.qa Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0
46,Lawrence Ati-Zigi,GK,gh Ghana,26-017,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0
47,Nathaniel Atkinson,DF,au Australia,23-186,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0
48,Yahya Attiat Allah,DF,ma Morocco,27-289,1.ma Wydad Casablanca,1995,5,1,228,2.5,0,1,0,0,0,0,0
49,André Ayew,"MF,FW",gh Ghana,32-364,1.qa Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0
50,Jordan Ayew,FW,gh Ghana,31-096,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,0,0,0,0,0
51,Sardar Azmoun,FW,ir IR Iran,27-349,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0
52,César Azpilicueta,DF,es Spain,33-110,1.eng Chelsea,1989,2,2,135,1.5,0,1,0,0,0,0,0
53,Srđan Babić,DF,rs Serbia,26-238,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0
54,Keanu Baccus,MF,au Australia,24-192,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0
55,Alexander Bah,DF,dk Denmark,25-007,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0
56,Hattan Bahebri,MF,sa Saudi Arabia,30-153,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,0,0,0,1,0
57,Alejandro Balde,DF,es Spain,19-059,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0
58,Gareth Bale,FW,wls Wales,33-153,1.us Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,1,1,0
59,Fodé Ballo-Touré,DF,sn Senegal,25-347,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0
60,Badr Banoun,DF,ma Morocco,29-077,1.qa Qatar SC,1993,2,0,27,0.3,0,0,0,0,0,0,0
61,Borna Barišić,DF,hr Croatia,30-036,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0
62,Meshaal Barsham,GK,qa Qatar,24-305,1.qa Al Sadd SC,1998,2,2,180,2.0,0,0,0,0,0,0,0
63,Christian Bassogog,MF,cm Cameroon,27-059,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0
64,Michy Batshuayi,FW,be Belgium,29-075,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,0,0,0,0
65,Jan Bednarek,DF,pl Poland,26-248,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0
66,Aziz Behich,DF,au Australia,32-000,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,1,0
67,Alireza Beiranvand,GK,ir IR Iran,30-086,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0
68,Jude Bellingham,MF,eng England,19-170,1.de Dortmund,2003,5,5,414,4.6,1,1,1,0,0,0,0
69,Anis Ben Slimane,MF,tn Tunisia,21-275,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0
70,Jewison Bennette,MF,cr Costa Rica,18-184,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0
71,Rodrigo Bentancur,MF,uy Uruguay,25-174,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,1,0
72,Bartosz Bereszyński,DF,pl Poland,30-157,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0
73,Steven Berghuis,MF,nl Netherlands,30-362,1.nl Ajax,1991,4,1,200,2.2,0,1,0,0,0,1,0
74,Steven Bergwijn,FW,nl Netherlands,25-069,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,1,0
75,Krystian Bielik,MF,pl Poland,24-346,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0
76,Daley Blind,DF,nl Netherlands,32-282,1.nl Ajax,1990,5,5,423,4.7,1,1,1,0,0,0,0
77,Celso Borges,MF,cr Costa Rica,34-203,1.cr Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0
78,Milan Borjan,GK,ca Canada,35-054,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0
79,Karim Boudiaf,MF,qa Qatar,32-091,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,1,0
80,Sofiane Boufal,FW,ma Morocco,29-090,1.fr Angers,1993,6,6,412,4.6,0,0,0,0,0,1,0
81,Yassine Bounou,GK,ma Morocco,31-255,1.es Sevilla,1991,5,5,480,5.3,0,0,0,0,0,0,0
82,Martin Braithwaite,"FW,MF",dk Denmark,31-194,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0
83,Mohammed Al-Breik,DF,sa Saudi Arabia,30-092,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0
84,Gleison Bremer,DF,br Brazil,25-273,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0
85,Dylan Bronn,DF,tn Tunisia,27-180,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0
86,Marcelo Brozović,MF,hr Croatia,30-030,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,1,0
87,Tajon Buchanan,"MF,DF",ca Canada,23-311,1.be Club Brugge,1999,3,3,260,2.9,0,1,0,0,0,1,0
88,Ante Budimir,FW,hr Croatia,31-147,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0
89,Osman Bukari,MF,gh Ghana,24-003,1.rs Red Star,1998,2,0,59,0.7,1,0,1,0,0,0,0
90,Ali Al-Bulaihi,DF,sa Saudi Arabia,33-025,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0
91,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22-216,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,0,0,0,0,0
92,Sergio Busquets,MF,es Spain,34-153,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,1,0
93,Martín Cáceres,DF,uy Uruguay,35-253,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,1,0
94,Moisés Caicedo,MF,ec Ecuador,21-044,1.eng Brighton,2001,3,3,269,3.0,1,0,1,0,0,1,0
95,Francisco Calvo,DF,cr Costa Rica,30-161,1.tr Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,2,0
96,Eduardo Camavinga,DF,fr France,20-036,1.es Real Madrid,2002,1,1,90,1.0,0,0,0,0,0,0,0
97,Joel Campbell,"FW,MF",cr Costa Rica,30-173,1.mx León,1992,3,3,269,3.0,0,0,0,0,0,1,0
98,João Cancelo,DF,pt Portugal,28-203,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0
99,Agustín Canobbio,MF,uy Uruguay,24-076,1.br Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0
100,Yannick Carrasco,"FW,DF",be Belgium,29-103,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,1,0
101,Cameron Carter-Vickers,DF,us United States,24-350,1.sct Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0
102,Dani Carvajal,DF,es Spain,30-339,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0
103,William Carvalho,MF,pt Portugal,30-253,1.es Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0
104,Casemiro,MF,br Brazil,30-296,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0
105,Matty Cash,DF,pl Poland,25-131,1.eng Aston Villa,1997,4,4,360,4.0,0,0,0,0,0,2,0
106,Timothy Castagne,DF,be Belgium,27-011,1.eng Leicester City,1995,3,3,270,3.0,0,0,0,0,0,0,0
107,Jean-Charles Castelletto,DF,cm Cameroon,27-324,1.fr Nantes,1995,2,2,180,2.0,1,1,1,0,0,0,0
108,Lucas Cavallini,FW,ca Canada,29-353,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0
109,Edinson Cavani,FW,uy Uruguay,35-305,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,1,0
110,Ghaylène Chaalali,MF,tn Tunisia,28-291,1.tn Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0
111,Daniel Chacón,MF,cr Costa Rica,21-249,1.cr CS Cartaginés,2001,1,0,1,0.0,0,0,0,0,0,0,0
112,Kwon Chang-hoon,"FW,MF",kr Korea Republic,28-169,1.kr Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0
113,Luis Chávez,MF,mx Mexico,26-335,1.mx Pachuca,1996,3,3,270,3.0,1,0,1,0,0,0,0
114,Walid Cheddira,FW,ma Morocco,24-328,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,2,1
115,Roozbeh Cheshmi,"DF,MF",ir IR Iran,29-145,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,0,0,0,0
116,Andreas Christensen,DF,dk Denmark,26-250,1.es Barcelona,1996,3,3,270,3.0,1,0,1,0,0,1,0
117,Hong Chul,DF,kr Korea Republic,32-090,1.kr Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0
118,José Cifuentes,MF,ec Ecuador,23-279,1.us Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0,0,0
119,Pathé Ciss,MF,sn Senegal,28-275,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,1,0
120,Sebastián Coates,DF,uy Uruguay,32-070,1.pt Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,1,0
121,Rubin Colwill,MF,wls Wales,20-233,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0
122,Kingsley Coman,FW,fr France,26-186,1.de Bayern Munich,1996,5,1,119,1.3,0,0,0,0,0,0,0
123,Eray Cömert,DF,ch Switzerland,24-315,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,1,0
124,Anthony Contreras,"FW,MF",cr Costa Rica,22-321,1.cr Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0
125,Andreas Cornelius,FW,dk Denmark,29-275,1.dk FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,1,0
126,Ángel Correa,MF,ar Argentina,27-282,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0
127,Diogo Costa,GK,pt Portugal,23-088,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0
128,Thibaut Courtois,GK,be Belgium,30-219,1.es Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0
129,Jason Cummings,FW,au Australia,27-137,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0
130,Aimen Dahmen,GK,tn Tunisia,25-322,1.tn CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0
131,Diogo Dalot,DF,pt Portugal,23-273,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0,0,0
132,Mikkel Damsgaard,"MF,FW",dk Denmark,22-166,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0
133,Danilo,DF,br Brazil,31-154,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,1,0
134,Achraf Dari,DF,ma Morocco,23-224,1.fr Brest,1999,2,1,124,1.4,0,0,0,0,0,1,0
135,Jonathan David,"FW,MF",ca Canada,22-336,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0
136,Alphonso Davies,"MF,DF",ca Canada,22-044,1.de Bayern Munich,2000,3,3,270,3.0,1,0,1,0,1,1,0
137,Ben Davies,DF,wls Wales,29-236,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0
138,Nasser Al-Dawsari,FW,sa Saudi Arabia,23-362,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0
139,Salem Al-Dawsari,MF,sa Saudi Arabia,31-119,1.sa Al-Hilal,1991,3,3,270,3.0,2,0,2,0,1,1,0
140,Giorgian De Arrascaeta,MF,uy Uruguay,28-198,1.br Flamengo,1994,2,1,108,1.2,2,0,2,0,0,0,0
141,Kevin De Bruyne,"FW,MF",be Belgium,31-171,1.eng Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0
142,Charles De Ketelaere,FW,be Belgium,21-281,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0
143,Nicolás De La Cruz,MF,uy Uruguay,25-198,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0
144,Rodrigo De Paul,MF,ar Argentina,28-206,1.es Atlético Madrid,1994,6,6,498,5.5,0,0,0,0,0,0,0
145,Miloš Degenek,DF,au Australia,28-232,1.us Columbus Crew,1994,4,2,183,2.0,0,0,0,0,0,2,0
146,Thomas Delaney,MF,dk Denmark,31-104,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0
147,Ousmane Dembélé,FW,fr France,25-215,1.es Barcelona,1997,6,5,393,4.4,0,2,0,0,0,1,0
148,Leander Dendoncker,"DF,MF",be Belgium,27-245,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,1,0
149,Sergiño Dest,DF,us United States,22-043,1.it Milan,2000,4,4,305,3.4,0,1,0,0,0,1,0
150,Ángel Di María,"MF,FW",ar Argentina,34-305,1.it Juventus,1988,4,3,225,2.5,0,1,0,0,0,0,0
151,Boulaye Dia,FW,sn Senegal,26-030,1.it Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0
152,Abdou Diallo,DF,sn Senegal,26-226,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0
153,Rúben Dias,DF,pt Portugal,25-216,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,1,0
154,Krépin Diatta,"FW,MF",sn Senegal,23-294,1.fr Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0
155,Famara Diedhiou,FW,sn Senegal,30-001,1.tr Alanyaspor,1992,2,1,92,1.0,1,0,1,0,0,0,0
156,Bamba Dieng,FW,sn Senegal,22-268,1.fr Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0
157,Eric Dier,DF,eng England,28-335,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0
158,Axel Disasi,DF,fr France,24-280,1.fr Monaco,1998,2,1,91,1.0,0,0,0,0,0,0,0
159,Alexander Djiku,"DF,FW",gh Ghana,28-129,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0
160,Ritsu Doan,FW,jp Japan,24-183,1.de Freiburg,1998,4,2,217,2.4,2,0,2,0,0,0,0
161,Jeremy Doku,"MF,FW",be Belgium,20-203,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0
162,Kasper Dolberg,FW,dk Denmark,25-071,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0
163,Mohamed Dräger,DF,tn Tunisia,26-174,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0
164,Óscar Duarte,DF,cr Costa Rica,33-196,1.sa Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,1,0
165,Mitchell Duke,FW,au Australia,31-332,2.jp Fagi Okayama,1991,4,4,270,3.0,1,0,1,0,0,1,0
166,Denzel Dumfries,DF,nl Netherlands,26-242,1.it Inter,1996,5,5,479,5.3,1,2,1,0,0,2,1
167,Paulo Dybala,FW,ar Argentina,29-031,1.it Roma,1993,1,0,17,0.2,0,0,0,0,0,0,0
168,Enzo Ebosse,DF,cm Cameroon,23-280,1.it Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0
169,Ederson,GK,br Brazil,29-121,1.eng Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0
170,Jorge Eduardo Sánchez,DF,mx Mexico,25-006,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0
171,Nico Elvedi,DF,ch Switzerland,26-077,1.de M'Gladbach,1996,2,2,180,2.0,0,0,0,0,0,1,0
172,Breel Embolo,FW,ch Switzerland,25-305,1.fr Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0
173,Youssef En-Nesyri,FW,ma Morocco,25-198,1.es Sevilla,1997,6,6,452,5.0,2,0,2,0,0,0,0
174,Wataru Endo,MF,jp Japan,29-310,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,1,0
175,Devis Epassy,GK,cm Cameroon,29-317,1.sa Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0
176,Christian Eriksen,MF,dk Denmark,30-305,1.eng Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0
177,Michael Estrada,FW,ec Ecuador,26-253,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0
178,Pervis Estupiñán,DF,ec Ecuador,24-329,1.eng Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0
179,Stephen Eustáquio,MF,ca Canada,25-360,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0
180,Saeid Ezatolahi,MF,ir IR Iran,26-076,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0
181,Abdessamad Ezzalzouli,"FW,MF",ma Morocco,20-364,1.es Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0
182,Fabinho,MF,br Brazil,29-054,1.eng Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0
183,Collins Fai,DF,cm Cameroon,30-125,1.sa Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,2,0
184,Salman Al-Faraj,MF,sa Saudi Arabia,33-137,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0
185,Christian Fassnacht,FW,ch Switzerland,29-035,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0
186,Abdul Fatawu Issahaku,FW,gh Ghana,18-283,1.pt Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0
187,Ansu Fati,FW,es Spain,20-046,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0
188,João Félix,FW,pt Portugal,23-036,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,1,0,0,1,0
189,Bruno Fernandes,"FW,MF",pt Portugal,28-099,1.eng Manchester Utd,1994,4,4,356,4.0,2,3,1,1,1,1,0
190,Edimilson Fernandes,"FW,DF",ch Switzerland,26-245,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0
191,Enzo Fernández,MF,ar Argentina,21-333,1.pt Benfica,2001,6,4,444,4.9,1,1,1,0,0,0,0
192,Jesús Ferreira,FW,us United States,21-357,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0
193,Phil Foden,"FW,MF",eng England,22-202,1.eng Manchester City,2000,4,3,258,2.9,1,2,1,0,0,0,0
194,Youssouf Fofana,MF,fr France,23-340,1.fr Monaco,1999,5,2,202,2.2,0,0,0,0,0,0,0
195,Juan Foyth,DF,ar Argentina,24-338,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0
196,Alan Franco,MF,ec Ecuador,24-117,1.ar Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0
197,Przemysław Frankowski,MF,pl Poland,27-248,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,1,0
198,Fred,MF,br Brazil,29-286,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,1,0
199,Fabian Frei,MF,ch Switzerland,33-342,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0
200,Remo Freuler,MF,ch Switzerland,30-245,1.eng Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0,0,0
201,Keysher Fuller,"DF,MF",cr Costa Rica,28-158,1.cr Club Sport Herediano,1994,3,3,253,2.8,1,0,1,0,0,0,0
202,Niclas Füllkrug,FW,de Germany,29-310,1.de Werder Bremen,1993,3,0,69,0.8,2,1,2,0,0,0,0
203,Rogelio Funes Mori,FW,mx Mexico,31-286,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0
204,Cody Gakpo,"FW,MF",nl Netherlands,23-223,1.nl PSV Eindhoven,1999,5,5,450,5.0,3,0,3,0,0,0,0
205,Hernán Galíndez,GK,ec Ecuador,35-261,1.ec SD Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0
206,Jesús Gallardo,DF,mx Mexico,28-123,1.mx Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0
207,Idrissa Gana Gueye,MF,sn Senegal,33-081,1.eng Everton,1989,3,3,270,3.0,0,0,0,0,0,2,0
208,Gavi,MF,es Spain,18-133,1.es Barcelona,2004,4,4,284,3.2,1,0,1,0,0,0,0
209,Sultan Al-Ghanam,"DF,MF",sa Saudi Arabia,28-224,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0
210,Nader Ghandri,DF,tn Tunisia,27-301,1.tn Club Africain,1995,1,1,90,1.0,0,0,0,0,0,0,0
211,Saman Ghoddos,MF,ir IR Iran,29-101,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0
212,Ali Gholizadeh,"MF,FW",ir IR Iran,26-281,1.be Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0
213,Matthias Ginter,DF,de Germany,28-331,1.de Freiburg,1994,1,0,1,0.0,0,0,0,0,0,0,0
214,Olivier Giroud,FW,fr France,36-077,1.it Milan,1986,5,5,379,4.2,4,0,4,0,0,0,0
215,Kamil Glik,DF,pl Poland,34-316,2.it Benevento,1988,4,4,360,4.0,0,0,0,0,0,0,0
216,Serge Gnabry,"FW,MF",de Germany,27-155,1.de Bayern Munich,1995,3,3,263,2.9,1,1,1,0,0,0,0
217,Diego Godín,DF,uy Uruguay,36-303,1.ar Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0
